sex,age,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree
Male,45,Greater than 45,African-American,0,0,0,1,F
Male,33,25 - 45,African-American,0,0,0,1,F
Male,33,25 - 45,Hispanic,0,0,0,2,F
Male,46,Greater than 45,Caucasian,1,0,0,9,F
Male,35,25 - 45,African-American,2,0,0,18,F
Male,47,Greater than 45,African-American,1,0,0,24,F
Male,47,Greater than 45,African-American,0,0,0,0,F
Male,33,25 - 45,African-American,0,0,0,4,M
Male,33,25 - 45,African-American,0,0,0,8,F
Male,45,Greater than 45,Caucasian,0,0,0,1,F
Male,33,25 - 45,Caucasian,0,0,0,1,M
Male,45,Greater than 45,African-American,0,0,0,5,F
Male,47,Greater than 45,African-American,0,0,0,0,F
Male,38,25 - 45,African-American,1,0,0,15,F
Male,33,25 - 45,African-American,0,0,0,0,M
Male,32,25 - 45,African-American,0,0,0,0,F
Male,32,25 - 45,Hispanic,2,1,0,5,F
Male,34,Greater than 45,Caucasian,1,0,0,24,F
Male,32,25 - 45,African-American,2,0,0,7,F
Male,26,25 - 45,African-American,1,0,0,9,F
Male,32,25 - 45,African-American,0,0,0,0,F
Male,32,25 - 45,African-American,0,0,0,0,F
Male,32,25 - 45,African-American,0,0,0,0,F
Male,32,25 - 45,African-American,0,0,0,4,F
Male,33,25 - 45,Caucasian,0,0,0,15,M
Male,33,25 - 45,African-American,2,0,0,9,M
Male,26,25 - 45,African-American,2,1,0,2,F
Male,32,25 - 45,African-American,0,0,0,1,F
Male,33,25 - 45,African-American,0,1,0,15,F
Male,25,25 - 45,African-American,1,1,0,9,M
Male,33,25 - 45,African-American,0,0,0,0,F
Male,32,25 - 45,Caucasian,0,0,0,1,F
Male,25,Less than 25,African-American,2,0,0,1,F
Male,32,25 - 45,African-American,1,0,0,1,F
Male,26,25 - 45,African-American,1,0,0,2,M
Male,33,Greater than 45,African-American,2,1,0,8,F
Male,32,25 - 45,African-American,0,0,0,16,F
Male,33,25 - 45,Caucasian,0,0,0,0,M
Male,26,25 - 45,Caucasian,0,0,0,0,F
Male,27,25 - 45,African-American,1,0,0,1,F
Male,33,25 - 45,African-American,0,0,0,0,M
Male,23,Less than 25,African-American,1,0,0,4,F
Male,23,Less than 25,African-American,0,0,0,3,M
Male,26,25 - 45,African-American,0,0,0,4,F
Male,26,25 - 45,Hispanic,0,0,0,1,F
Male,26,25 - 45,Caucasian,0,0,0,1,M
Male,32,25 - 45,African-American,0,0,0,0,F
Male,32,25 - 45,African-American,0,0,0,0,F
Male,33,25 - 45,African-American,1,0,0,16,F
Male,26,25 - 45,African-American,0,1,0,2,F
Male,32,25 - 45,African-American,0,0,0,2,F
Male,23,Less than 25,Hispanic,0,0,0,4,F
Male,25,25 - 45,Caucasian,0,0,0,1,F
Male,26,25 - 45,African-American,0,0,0,0,M
Male,23,Less than 25,African-American,0,0,0,0,F
Male,33,25 - 45,African-American,1,1,0,24,F
Male,33,25 - 45,African-American,0,0,0,0,M
Male,23,Less than 25,African-American,0,0,0,1,M
Male,32,25 - 45,Asian,0,0,0,7,F
Male,32,25 - 45,Caucasian,1,0,0,9,F
Male,32,25 - 45,African-American,2,0,0,10,F
Male,27,Greater than 45,African-American,2,0,0,15,M
Male,25,25 - 45,African-American,0,0,0,0,F
Male,22,25 - 45,African-American,0,0,0,2,F
Male,25,25 - 45,African-American,0,0,0,0,F
Male,26,25 - 45,African-American,0,0,0,9,M
Male,31,25 - 45,Caucasian,0,0,0,3,M
Male,25,Less than 25,African-American,2,0,0,2,F
Male,31,25 - 45,African-American,1,0,0,9,F
Male,23,Less than 25,African-American,0,0,0,4,F
Male,31,25 - 45,African-American,0,0,0,0,F
Male,30,25 - 45,African-American,0,0,0,0,M
Male,31,25 - 45,African-American,0,0,0,10,F
Male,25,25 - 45,Caucasian,0,0,0,9,F
Male,22,Less than 25,African-American,2,1,1,2,F
Male,30,25 - 45,African-American,1,0,0,9,F
Male,23,Less than 25,African-American,0,0,0,1,M
Male,31,25 - 45,African-American,0,0,0,24,F
Male,22,25 - 45,African-American,2,1,0,5,F
Male,25,Greater than 45,Hispanic,0,0,0,0,F
Male,30,25 - 45,Caucasian,0,0,0,0,M
Male,30,25 - 45,African-American,1,0,0,1,F
Male,23,Less than 25,African-American,1,0,0,1,F
Male,31,25 - 45,African-American,1,0,0,9,F
Male,25,25 - 45,African-American,0,1,0,6,M
Male,31,25 - 45,African-American,0,1,0,9,F
Male,29,25 - 45,African-American,0,0,0,0,F
Male,30,25 - 45,Caucasian,0,0,0,0,F
Male,31,25 - 45,African-American,1,0,0,1,F
Male,23,Less than 25,African-American,1,0,0,1,F
Male,22,Less than 25,African-American,1,0,0,4,M
Male,23,Less than 25,African-American,0,0,0,2,M
Male,30,25 - 45,African-American,0,0,0,2,F
Male,22,Less than 25,Hispanic,0,0,0,1,F
Male,23,Less than 25,Caucasian,0,0,1,0,F
Male,31,25 - 45,African-American,0,0,0,0,F
Male,31,25 - 45,African-American,0,0,0,0,M
Male,27,25 - 45,African-American,2,1,0,8,F
Male,26,Less than 25,African-American,0,0,0,3,F
Male,25,25 - 45,African-American,0,0,0,2,M
Male,31,25 - 45,Asian,0,0,0,0,F
Male,31,25 - 45,Caucasian,0,0,0,1,F
Male,22,Less than 25,African-American,0,0,0,0,F
Male,30,25 - 45,African-American,0,0,0,0,F
Male,25,25 - 45,African-American,1,0,0,6,F
Male,31,25 - 45,African-American,0,0,0,3,F
Male,31,25 - 45,African-American,0,0,0,1,F
Male,23,Less than 25,Hispanic,0,0,0,2,F
Male,25,25 - 45,Caucasian,2,0,0,3,F
Male,22,Less than 25,African-American,2,0,0,15,F
Male,26,25 - 45,African-American,2,1,1,5,F
Male,30,25 - 45,African-American,0,0,0,0,M
Male,19,Less than 25,African-American,0,0,0,1,F
Male,19,Less than 25,African-American,1,0,0,1,F
Male,23,Less than 25,African-American,0,1,2,4,M
Male,25,Less than 25,Caucasian,0,0,2,4,F
Male,28,Less than 25,African-American,2,1,0,7,F
Male,26,Less than 25,African-American,2,1,2,15,F
Male,19,Less than 25,African-American,0,0,0,0,M
Male,22,Less than 25,African-American,0,0,0,1,M
Male,23,Less than 25,African-American,0,0,0,0,F
Male,19,Less than 25,African-American,1,0,0,2,F
Male,21,Less than 25,Caucasian,0,0,2,1,F
Male,20,Less than 25,African-American,2,1,1,4,F
Male,23,Less than 25,African-American,2,1,1,3,F
Male,22,Less than 25,African-American,0,0,0,0,F
Male,19,Less than 25,African-American,1,0,0,2,F
Male,19,Less than 25,African-American,1,2,0,2,F
Male,22,Less than 25,African-American,0,0,0,0,F
Male,23,Less than 25,Caucasian,0,1,1,1,F
Male,19,Less than 25,African-American,0,0,0,0,F
Male,25,Less than 25,African-American,0,0,0,0,M
Male,21,Less than 25,African-American,2,1,0,3,M
Male,22,Less than 25,African-American,0,1,0,4,F
Male,25,Less than 25,African-American,0,1,0,2,F
Male,19,Less than 25,African-American,1,0,0,1,F
Male,19,Less than 25,Caucasian,0,2,0,1,F
Male,21,Less than 25,African-American,2,0,0,0,F
Male,22,Less than 25,African-American,0,0,0,0,F
Male,23,Less than 25,African-American,2,1,0,4,F
Male,25,Less than 25,African-American,0,1,0,3,F
Male,23,Less than 25,African-American,0,1,2,3,F
Male,21,Less than 25,African-American,0,0,0,0,F
Male,19,Less than 25,Caucasian,0,0,0,0,F
Male,25,Less than 25,African-American,2,0,0,1,M
Male,19,Less than 25,African-American,2,1,0,1,F
Male,19,Less than 25,African-American,2,1,0,1,F
Male,29,Less than 25,African-American,0,1,2,12,F
Male,19,Less than 25,African-American,1,1,1,3,F
Male,19,Less than 25,African-American,0,0,0,0,M
Male,23,Less than 25,Caucasian,0,0,0,0,M
Male,25,Less than 25,African-American,2,0,0,1,F
Male,19,Less than 25,African-American,0,0,0,1,F
Male,19,Less than 25,African-American,2,1,0,2,F
Male,23,Less than 25,African-American,0,0,0,0,F
Male,19,Less than 25,African-American,0,0,0,0,F
Male,23,Less than 25,African-American,0,0,2,1,F
Male,24,Less than 25,Caucasian,0,0,3,3,F
Male,19,Less than 25,African-American,2,0,0,2,F
Male,25,Less than 25,African-American,1,1,0,3,F
Male,19,Less than 25,African-American,2,0,0,1,M
Male,55,Greater than 45,African-American,0,0,0,2,F
Male,47,Greater than 45,African-American,0,0,0,1,M
Male,55,Greater than 45,Caucasian,0,0,0,10,F
Male,46,Greater than 45,Caucasian,0,0,0,9,F
Male,55,Greater than 45,African-American,1,0,0,24,F
Male,44,25 - 45,African-American,1,0,0,18,M
Male,48,25 - 45,African-American,0,0,0,0,F
Male,39,25 - 45,African-American,0,0,0,1,F
Male,55,Greater than 45,African-American,0,0,0,1,F
Male,55,Greater than 45,Caucasian,0,0,0,2,F
Male,47,Greater than 45,Caucasian,0,0,0,4,F
Male,54,Greater than 45,African-American,1,0,0,16,M
Male,47,Greater than 45,African-American,1,0,0,15,M
Male,55,Greater than 45,African-American,0,0,0,0,F
Male,48,Greater than 45,African-American,0,0,0,4,F
Male,55,Greater than 45,African-American,0,0,0,9,M
Male,39,25 - 45,Caucasian,0,0,0,0,M
Male,56,Greater than 45,Caucasian,0,0,0,1,M
Male,44,25 - 45,African-American,0,0,0,0,F
Male,48,Greater than 45,African-American,0,0,0,0,F
Male,40,25 - 45,African-American,1,0,0,24,F
Male,55,Greater than 45,African-American,0,0,0,9,F
Male,56,Greater than 45,African-American,0,1,0,3,F
Male,54,Greater than 45,Caucasian,0,0,0,1,F
Male,47,Greater than 45,Caucasian,0,0,0,1,F
Male,55,Greater than 45,African-American,0,0,0,0,M
Male,55,Greater than 45,African-American,0,0,0,0,M
Male,48,25 - 45,African-American,1,0,0,15,F
Male,56,Greater than 45,African-American,0,0,0,24,F
Male,55,Greater than 45,African-American,0,0,0,6,F
Male,56,Greater than 45,Caucasian,0,0,0,2,F
Male,39,25 - 45,Caucasian,0,0,0,0,F
Male,49,25 - 45,African-American,1,0,0,1,F
Male,55,Greater than 45,African-American,0,0,0,0,F
Male,54,Greater than 45,African-American,0,0,0,8,M
Male,55,Greater than 45,African-American,0,0,0,17,F
Male,49,25 - 45,African-American,0,0,0,9,F
Male,56,Greater than 45,Caucasian,0,0,0,0,F
Male,55,Greater than 45,Caucasian,0,0,0,0,M
Male,55,Greater than 45,African-American,0,0,0,1,F
Male,55,Greater than 45,African-American,0,0,0,10,M
Male,55,Greater than 45,African-American,0,0,0,9,F
Male,48,25 - 45,African-American,0,0,0,0,F
Male,39,25 - 45,African-American,0,0,0,0,F
Male,56,Greater than 45,Hispanic,0,0,0,25,F
Male,56,Greater than 45,Caucasian,0,0,0,17,F
Male,47,Greater than 45,African-American,2,0,0,11,F
Male,56,Greater than 45,African-American,0,0,0,9,F
Male,39,25 - 45,African-American,0,0,0,1,F
Male,52,Greater than 45,African-American,0,0,0,9,M
Male,53,Greater than 45,African-American,0,0,0,10,F
Male,49,Greater than 45,Caucasian,0,0,0,0,M
Male,52,Greater than 45,Caucasian,0,0,0,1,F
Male,39,25 - 45,African-American,0,0,0,0,F
Male,40,25 - 45,African-American,0,0,0,0,F
Male,53,Greater than 45,African-American,1,0,0,17,F
Male,46,Greater than 45,African-American,0,0,0,4,F
Male,39,25 - 45,African-American,0,0,0,2,F
Male,52,Greater than 45,Caucasian,0,0,0,2,F
Male,51,Greater than 45,Caucasian,0,0,0,0,F
Male,39,25 - 45,African-American,0,0,0,0,F
Male,39,25 - 45,African-American,0,0,0,0,F
Male,54,Greater than 45,African-American,1,0,0,25,M
Male,39,25 - 45,African-American,0,0,0,1,F
Male,39,25 - 45,African-American,0,0,0,1,F
Male,52,Greater than 45,Caucasian,0,0,0,3,F
Male,52,Greater than 45,Caucasian,1,0,0,10,F
Male,52,Greater than 45,African-American,1,0,0,16,M
Male,39,25 - 45,African-American,2,0,0,27,F
Male,47,Greater than 45,African-American,0,0,0,0,F
Male,39,25 - 45,African-American,0,0,0,1,F
Male,51,Greater than 45,African-American,0,0,0,1,M
Male,38,25 - 45,Caucasian,0,0,0,4,M
Male,52,Greater than 45,Caucasian,1,0,0,2,F
Male,54,Greater than 45,African-American,2,1,1,14,F
Male,52,Greater than 45,African-American,1,0,0,16,F
Male,52,Greater than 45,African-American,0,0,0,0,F
Male,53,Greater than 45,African-American,0,0,0,0,F
Male,48,Greater than 45,African-American,0,0,0,0,F
Male,39,25 - 45,Hispanic,0,1,0,6,F
Male,52,Greater than 45,Caucasian,0,0,0,25,M
Male,39,25 - 45,African-American,2,0,0,8,F
Male,52,Greater than 45,African-American,1,0,0,9,M
Male,39,25 - 45,African-American,0,0,0,1,F
Male,53,Greater than 45,African-American,0,0,0,0,F
Male,52,Greater than 45,African-American,0,0,0,0,F
Male,52,Greater than 45,African-American,0,0,0,4,M
Male,39,25 - 45,Native American,2,1,0,6,F
Male,52,Greater than 45,African-American,1,0,0,8,M
Male,49,Greater than 45,African-American,0,0,0,3,M
Male,39,25 - 45,African-American,0,0,0,0,M
Male,39,25 - 45,African-American,0,0,0,6,F
Male,53,Greater than 45,African-American,0,0,0,25,F
Male,51,Greater than 45,Caucasian,0,0,0,0,F
Male,38,25 - 45,Caucasian,0,0,0,0,M
Male,39,25 - 45,African-American,1,0,0,1,F
Male,52,Greater than 45,African-American,0,0,0,10,F
Male,39,25 - 45,African-American,0,0,0,9,F
Male,53,Greater than 45,African-American,0,0,0,10,F
Male,53,Greater than 45,African-American,0,1,0,3,F
Male,53,Greater than 45,Caucasian,0,0,0,1,M
Male,39,25 - 45,Caucasian,0,0,0,0,F
Male,54,Greater than 45,African-American,0,0,0,0,M
Male,54,Greater than 45,African-American,0,0,0,0,F
Male,47,25 - 45,African-American,1,0,0,27,F
Male,39,25 - 45,African-American,0,0,0,2,M
Male,39,25 - 45,African-American,0,0,0,4,M
Male,53,Greater than 45,Caucasian,0,0,0,1,F
Male,46,25 - 45,Caucasian,0,0,0,4,F
Male,47,25 - 45,African-American,0,0,0,0,F
Male,51,Greater than 45,African-American,0,0,0,0,F
Male,54,Greater than 45,African-American,1,1,0,14,F
Male,39,25 - 45,African-American,0,0,0,1,F
Male,40,25 - 45,African-American,0,0,0,1,F
Male,39,25 - 45,Caucasian,0,0,0,4,F
Male,52,Greater than 45,Caucasian,0,0,0,7,M
Male,40,25 - 45,African-American,2,0,0,15,F
Male,53,Greater than 45,African-American,1,0,0,16,F
Male,46,25 - 45,African-American,0,0,0,2,F
Male,49,Greater than 45,African-American,0,0,0,1,F
Male,53,Greater than 45,African-American,0,0,0,10,F
Male,53,Greater than 45,Caucasian,0,0,0,8,F
Male,53,Greater than 45,Caucasian,0,0,0,4,M
Male,39,25 - 45,African-American,2,0,0,18,F
Male,53,Greater than 45,African-American,1,0,0,25,F
Male,40,25 - 45,African-American,0,0,0,0,F
Male,53,Greater than 45,African-American,0,0,0,0,F
Male,54,Greater than 45,African-American,0,0,0,0,F
Male,50,Greater than 45,Hispanic,0,0,0,4,F
Male,54,Greater than 45,Caucasian,0,0,0,17,F
Male,39,25 - 45,African-American,2,1,0,5,F
Male,39,25 - 45,African-American,1,0,0,8,F
Male,53,Greater than 45,African-American,0,0,0,0,M
Male,39,25 - 45,African-American,0,0,0,0,F
Male,39,25 - 45,African-American,0,0,0,0,M
Male,53,Greater than 45,Caucasian,0,0,0,17,F
Male,54,Greater than 45,African-American,2,1,0,26,F
Male,53,Greater than 45,African-American,1,0,0,9,F
Male,45,25 - 45,African-American,1,0,0,9,F
Male,46,25 - 45,African-American,0,0,0,1,F
Male,54,Greater than 45,African-American,0,0,0,24,M
Male,46,25 - 45,African-American,0,0,0,6,F
Male,39,25 - 45,Caucasian,0,0,0,0,M
Male,51,Greater than 45,Caucasian,0,0,0,0,F
Male,53,Greater than 45,African-American,1,0,0,12,F
Male,39,25 - 45,African-American,0,0,0,1,F
Male,52,Greater than 45,African-American,0,0,0,10,F
Male,34,25 - 45,African-American,0,0,0,4,F
Male,38,25 - 45,African-American,0,0,0,3,M
Male,44,25 - 45,Caucasian,0,0,0,0,F
Male,49,Greater than 45,Caucasian,0,0,0,0,F
Male,49,Greater than 45,African-American,1,0,0,13,F
Male,49,Greater than 45,African-American,0,0,0,1,F
Male,39,25 - 45,African-American,1,0,0,9,F
Male,39,25 - 45,African-American,0,0,0,6,F
Male,49,Greater than 45,African-American,0,0,0,25,F
Male,34,25 - 45,Caucasian,0,0,0,0,M
Male,38,25 - 45,Caucasian,0,0,0,0,F
Male,33,25 - 45,African-American,1,0,0,1,M
Male,48,Greater than 45,African-American,0,0,0,1,F
Male,49,Greater than 45,African-American,0,0,0,8,F
Male,49,Greater than 45,African-American,0,0,0,0,M
Male,45,25 - 45,African-American,0,0,0,0,F
Male,39,25 - 45,African-American,0,0,0,4,F
Male,34,25 - 45,Caucasian,0,0,1,16,F
Male,50,Greater than 45,African-American,1,0,0,9,F
Male,33,25 - 45,African-American,1,0,0,2,F
Male,34,25 - 45,African-American,0,0,0,1,F
Male,38,25 - 45,African-American,0,0,0,0,F
Male,34,25 - 45,African-American,0,0,0,0,F
Male,49,Greater than 45,African-American,0,0,0,17,F
Male,40,25 - 45,Caucasian,0,0,0,9,M
Male,49,Greater than 45,African-American,1,0,0,9,F
Male,38,25 - 45,African-American,1,0,0,11,F
Male,38,25 - 45,African-American,0,0,0,1,F
Male,34,25 - 45,African-American,0,0,0,0,F
Male,49,Greater than 45,African-American,0,0,0,0,M
Male,50,Greater than 45,African-American,0,1,0,5,F
Male,38,25 - 45,Caucasian,0,0,0,3,M
Male,49,Greater than 45,African-American,2,0,0,24,F
Male,40,25 - 45,African-American,1,1,0,18,F
Male,48,Greater than 45,African-American,0,0,0,0,M
Male,49,Greater than 45,African-American,0,0,0,0,F
Male,49,Greater than 45,African-American,0,0,0,1,F
Male,49,Greater than 45,Caucasian,0,0,0,8,F
Male,33,25 - 45,Caucasian,0,0,1,4,F
Male,38,25 - 45,African-American,2,0,0,18,M
Male,49,Greater than 45,African-American,1,0,0,24,F
Male,43,25 - 45,African-American,0,0,0,0,F
Male,49,Greater than 45,African-American,0,1,0,5,F
Male,34,25 - 45,African-American,0,0,0,2,F
Male,38,25 - 45,Caucasian,0,0,0,4,M
Male,49,Greater than 45,Caucasian,0,0,0,1,M
Male,39,25 - 45,African-American,0,0,0,0,F
Male,48,Greater than 45,African-American,0,0,0,0,F
Male,49,Greater than 45,African-American,1,0,0,24,F
Male,47,Greater than 45,African-American,0,0,0,17,F
Male,35,25 - 45,African-American,0,0,0,25,F
Male,33,25 - 45,Caucasian,0,0,0,0,F
Male,34,25 - 45,Caucasian,0,0,0,0,M
Male,46,Greater than 45,African-American,0,0,0,1,F
Male,33,25 - 45,African-American,0,0,0,1,M
Male,46,Greater than 45,African-American,0,0,0,6,M
Male,34,25 - 45,African-American,2,1,0,9,F
Male,33,25 - 45,African-American,0,0,0,9,F
Male,46,Greater than 45,Caucasian,0,0,0,0,F
Male,35,25 - 45,Caucasian,0,0,0,0,F
Male,46,Greater than 45,African-American,1,0,0,10,M
Male,46,Greater than 45,African-American,0,0,0,0,F
Male,45,Greater than 45,African-American,1,0,0,10,F
Male,33,25 - 45,African-American,0,0,0,0,F
Male,33,25 - 45,African-American,0,0,0,0,F
Male,35,25 - 45,African-American,0,0,0,9,M
Male,47,Greater than 45,Caucasian,0,0,0,25,F
Male,45,Greater than 45,African-American,2,1,0,3,F
Male,46,Greater than 45,African-American,1,0,0,9,F
Male,46,Greater than 45,African-American,0,0,0,0,M
Male,35,25 - 45,African-American,0,0,0,0,F
Male,46,Greater than 45,African-American,0,0,0,0,M
Male,34,25 - 45,African-American,0,0,0,14,F
Male,33,25 - 45,Caucasian,0,0,1,6,F
Male,33,25 - 45,African-American,2,0,0,9,F
Male,47,Greater than 45,African-American,0,1,0,3,F
Male,46,Greater than 45,African-American,0,0,0,10,F
Male,33,25 - 45,African-American,0,0,0,1,F
Male,42,25 - 45,African-American,0,0,0,1,F
Male,46,Greater than 45,Caucasian,0,0,0,9,F
Male,46,Greater than 45,Caucasian,1,0,0,9,F
Male,34,25 - 45,African-American,2,1,1,8,F
Male,46,Greater than 45,African-American,1,0,0,24,F
Male,46,Greater than 45,African-American,0,0,0,0,M
Male,33,25 - 45,African-American,0,0,0,1,F
Male,34,25 - 45,African-American,0,0,0,0,F
Male,47,Greater than 45,Caucasian,0,0,0,9,M
Male,35,25 - 45,Caucasian,0,0,0,2,F
Male,33,25 - 45,African-American,2,0,1,15,M
Male,46,Greater than 45,African-American,1,0,0,16,M
Male,47,Greater than 45,African-American,0,0,0,0,F
Male,46,Greater than 45,African-American,0,0,0,7,F
Male,46,Greater than 45,African-American,0,0,0,9,F
Male,34,25 - 45,Caucasian,0,0,0,1,F
Male,47,Greater than 45,Caucasian,0,0,0,1,F
Male,33,25 - 45,African-American,0,0,0,0,M
Male,35,25 - 45,African-American,0,0,0,0,M
Male,34,25 - 45,African-American,2,1,0,13,F
Male,26,Less than 25,African-American,0,0,0,0,F
Male,26,25 - 45,African-American,0,0,0,0,F
Male,33,25 - 45,African-American,0,1,0,15,F
Male,23,Less than 25,Caucasian,0,2,1,6,F
Male,33,25 - 45,African-American,2,0,0,8,M
Male,23,Less than 25,African-American,1,0,0,2,M
Male,32,25 - 45,African-American,0,0,0,1,F
Male,33,25 - 45,African-American,0,0,0,0,M
Male,23,Less than 25,African-American,0,0,0,0,F
Male,26,25 - 45,African-American,0,1,0,6,F
Male,27,25 - 45,Caucasian,2,1,0,8,F
Male,25,25 - 45,African-American,2,0,0,2,F
Male,32,25 - 45,African-American,1,0,0,9,F
Male,26,Less than 25,African-American,0,0,0,0,F
Male,23,Less than 25,African-American,0,1,1,9,F
Male,34,25 - 45,African-American,0,0,0,16,F
Male,27,25 - 45,African-American,0,0,0,0,F
Male,26,Less than 25,Caucasian,0,0,0,0,M
Male,26,25 - 45,African-American,1,0,0,8,F
Male,33,25 - 45,African-American,0,0,0,0,M
Male,26,25 - 45,African-American,1,0,0,5,M
Male,26,25 - 45,African-American,0,0,1,6,M
Male,26,Less than 25,African-American,0,0,0,9,F
Male,23,Less than 25,African-American,0,0,0,0,F
Male,33,25 - 45,Caucasian,0,0,0,0,F
Male,33,25 - 45,African-American,1,0,0,1,F
Male,33,25 - 45,African-American,1,0,0,1,F
Male,33,25 - 45,African-American,1,0,0,7,F
Male,32,25 - 45,African-American,0,0,0,9,F
Male,32,25 - 45,African-American,0,0,0,2,M
Male,33,25 - 45,Asian,0,0,0,1,F
Male,33,Greater than 45,Caucasian,0,0,0,1,F
Male,32,25 - 45,African-American,0,0,0,0,F
Male,32,25 - 45,African-American,0,0,0,0,F
Male,25,25 - 45,African-American,1,0,0,9,F
Male,32,25 - 45,African-American,0,1,0,2,F
Male,23,Less than 25,African-American,0,1,0,4,F
Male,25,Less than 25,Hispanic,0,0,0,1,F
Male,33,25 - 45,Caucasian,0,0,0,0,M
Male,32,25 - 45,African-American,0,0,0,0,F
Male,27,25 - 45,African-American,0,0,0,0,F
Male,34,25 - 45,African-American,1,0,0,15,M
Male,33,25 - 45,African-American,0,0,0,1,F
Male,33,25 - 45,African-American,0,0,0,0,F
Male,25,25 - 45,Hispanic,0,0,0,2,M
Male,26,25 - 45,Caucasian,0,0,1,3,F
Male,26,25 - 45,African-American,2,1,1,14,F
Male,26,25 - 45,African-American,1,0,0,9,F
